teamIdHome,teamIdAway,home_team_position,away_team_position,matchweek,homeGF,homeGA,awayGF,awayGA,homeLast1,homeLast2,homeLast3,homeLast4,homeLast5,awayLast1,awayLast2,awayLast3,awayLast4,awayLast5,homeScore,awayScore,o35
13,10,12,20,16,12,18,12,22,0,1,0,0.5,1,0,0.5,0,0,0,1,1,0
11,8,13,17,16,19,29,20,19,0,0,0.5,0,1,0.5,0.5,0,0,0,0,1,0
7,3,11,2,16,22,23,34,22,1,0,1,0,0,1,1,1,0,1,1,3,1
14,2,4,1,16,13,25,25,18,0,0,1,1,1,0.5,1,0,1,1,3,0,0
20,6,10,18,16,25,17,22,21,1,0,0,1,0,0,1,0.5,0,0.5,1,1,0
12,17,9,16,17,15,21,28,30,0.5,0,0,1,0,0.5,1,0.5,0,0,2,3,1
18,5,5,7,17,21,17,16,17,0,1,1,1,1,0.5,1,0.5,1,0.5,2,0,0
4,1,8,3,17,28,16,32,22,0,0.5,0.5,1,1,1,0.5,1,0.5,1,4,1,1
15,16,14,15,17,15,17,15,27,0.5,1,0.5,0.5,0,0,0.5,0,0,1,0,0,0
9,19,19,6,17,22,15,18,18,0.5,0,0,0.5,0,1,1,0,1,1,1,2,0
13,10,12,20,17,13,19,13,23,0,1,0,0.5,1,0,0.5,0,0,0,1,1,0
11,8,13,17,17,19,30,21,19,0,0,0.5,0,1,0.5,0.5,0,0,0,0,1,0
7,3,11,2,17,23,26,37,23,1,0,1,0,0,1,1,1,0,1,1,3,1
14,2,4,1,17,16,25,25,21,0,0,1,1,1,0.5,1,0,1,1,3,0,0
20,6,10,18,17,26,18,23,22,1,0,0,1,0,0,1,0.5,0,0.5,1,1,0
12,1,9,3,20,19,26,37,23,0.5,0,0,1,0,1,0.5,1,0.5,1,1,0,0
6,16,18,15,20,26,25,18,30,0,1,0.5,0,0.5,0,0.5,0,0,1,2,0,0
9,8,19,17,20,29,20,23,23,0.5,0,0,0.5,0,0.5,0.5,0,0,0,4,1,1
17,11,16,13,20,33,34,21,35,0.5,1,0.5,0,0,0,0,0.5,0,1,1,0,0
13,2,12,1,20,17,19,27,24,0,1,0,0.5,1,0.5,1,0,1,1,1,1,0
18,7,5,11,20,24,25,23,28,0,1,1,1,1,1,0,1,0,0,1,1,0
5,20,7,10,20,16,19,35,25,0.5,1,0.5,1,0.5,1,0,0,1,0,0,0,0
14,3,4,2,20,21,31,44,27,0,0,1,1,1,1,1,1,0,1,1,0,0
15,10,14,20,20,17,22,20,28,0.5,1,0.5,0.5,0,0,0.5,0,0,0,2,0,0
4,19,8,6,20,33,19,22,22,0,0.5,0.5,1,1,1,1,0,1,1,2,0,0
1,4,3,8,21,37,24,35,19,1,0.5,1,0.5,1,0,0.5,0.5,1,1,3,1,1
16,17,15,16,21,18,32,34,34,0,0.5,0,0,1,0.5,1,0.5,0,0,1,2,0
8,18,17,5,21,24,27,25,26,0.5,0.5,0,0,0,0,1,1,1,1,3,3,1
20,13,10,12,21,35,25,18,20,1,0,0,1,0,0,1,0,0.5,1,0,0,0
3,15,2,14,21,44,28,19,22,1,1,1,0,1,0.5,1,0.5,0.5,0,3,0,0
2,7,1,11,21,28,25,24,29,0.5,1,0,1,1,1,0,1,0,0,0,3,0
14,6,4,18,21,22,31,28,25,0,0,1,1,1,0,1,0.5,0,0.5,1,2,0
11,5,13,7,21,21,36,16,19,0,0,0.5,0,1,0.5,1,0.5,1,0.5,1,0,0
19,9,6,19,21,22,24,33,21,1,1,0,1,1,0.5,0,0,0.5,0,1,2,0
10,12,20,9,21,20,30,20,26,0,0.5,0,0,0,0.5,0,0,1,0,0,1,0
8,19,17,6,22,27,30,23,26,0.5,0.5,0,0,0,1,1,0,1,1,0,0,0
9,1,19,3,22,35,22,40,25,0.5,0,0,0.5,0,1,0.5,1,0.5,1,2,2,1
18,2,5,1,22,28,29,28,28,0,1,1,1,1,0.5,1,0,1,1,3,2,1
12,3,9,2,22,21,26,47,28,0.5,0,0,1,0,1,1,1,0,1,2,2,1
17,14,16,4,22,36,35,23,33,0.5,1,0.5,0,0,0,0,1,1,1,1,2,0
15,6,14,18,22,19,25,30,26,0.5,1,0.5,0.5,0,0,1,0.5,0,0.5,5,1,1
7,20,11,10,22,27,29,35,25,1,0,1,0,0,1,0,0,1,0,2,2,1
5,16,7,15,22,16,20,19,34,0.5,1,0.5,1,0.5,0,0.5,0,0,1,0,2,0
13,11,12,13,22,18,20,22,36,0,1,0,0.5,1,0,0,0.5,0,1,0,1,0
4,10,8,20,22,36,22,20,31,0,0.5,0.5,1,1,0,0.5,0,0,0,1,2,0
6,12,18,9,23,31,31,23,28,0,1,0.5,0,0.5,0.5,0,0,1,0,1,0,0
1,8,3,17,23,42,27,27,30,1,0.5,1,0.5,1,0.5,0.5,0,0,0,2,1,0
3,4,2,8,23,49,30,37,24,1,1,1,0,1,0,0.5,0.5,1,1,1,0,0
10,9,20,19,23,22,32,37,24,0,0.5,0,0,0,0.5,0,0,0.5,0,4,2,1
20,2,10,1,23,37,27,30,31,1,0,0,1,0,0.5,1,0,1,1,4,2,1
16,13,15,12,23,21,34,18,21,0,0.5,0,0,1,0,1,0,0.5,1,2,2,1
11,7,13,11,23,23,36,29,31,0,0,0.5,0,1,1,0,1,0,0,1,1,0
14,5,4,7,23,25,34,16,22,0,0,1,1,1,0.5,1,0.5,1,0.5,2,1,0
15,17,14,16,23,24,26,37,37,0.5,1,0.5,0.5,0,0.5,1,0.5,0,0,3,1,1
19,18,6,5,23,23,26,31,31,1,1,0,1,1,0,1,1,1,1,3,0,0
9,3,19,2,24,39,28,50,30,0.5,0,0,0.5,0,1,1,1,0,1,0,1,0
4,6,8,18,24,37,25,32,31,0,0.5,0.5,1,1,0,1,0.5,0,0.5,0,3,0
12,17,9,16,24,23,29,38,40,0.5,0,0,1,0,0.5,1,0.5,0,0,1,1,0
5,15,7,14,24,17,24,27,27,0.5,1,0.5,1,0.5,0.5,1,0.5,0.5,0,0,1,0
2,11,1,13,24,32,35,24,37,0.5,1,0,1,1,0,0,0.5,0,1,2,1,0
8,10,17,20,24,28,32,26,34,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0
7,16,11,15,24,30,32,23,36,1,0,1,0,0,0,0.5,0,0,1,1,1,0
19,1,6,3,24,26,26,44,28,1,1,0,1,1,1,0.5,1,0.5,1,2,2,1
18,20,5,10,24,31,34,41,29,0,1,1,1,1,1,0,0,1,0,3,2,1
13,14,12,4,24,20,23,27,35,0,1,0,0.5,1,0,0,1,1,1,1,3,1
17,4,16,8,25,39,41,37,28,0.5,1,0.5,0,0,0,0.5,0.5,1,1,0,2,0
12,5,9,7,25,24,30,17,25,0.5,0,0,1,0,0.5,1,0.5,1,0.5,0,1,0
6,9,18,19,25,35,31,39,29,0,1,0.5,0,0.5,0.5,0,0,0.5,0,0,2,0
1,18,3,5,25,46,30,34,36,1,0.5,1,0.5,1,0,1,1,1,1,2,2,1
15,13,14,12,25,28,27,21,26,0.5,1,0.5,0.5,0,0,1,0,0.5,1,3,1,1
14,7,4,11,25,30,36,31,33,0,0,1,1,1,1,0,1,0,0,1,2,0
3,8,2,17,25,51,30,28,32,1,1,1,0,1,0.5,0.5,0,0,0,0,0,0
11,20,13,10,25,25,39,43,32,0,0,0.5,0,1,1,0,0,1,0,3,3,1
10,19,20,6,25,26,34,28,28,0,0.5,0,0,0,1,1,0,1,1,1,0,0
16,2,15,1,25,24,37,34,36,0,0.5,0,0,1,0.5,1,0,1,1,0,3,0
9,17,19,16,26,41,29,39,43,0.5,0,0,0.5,0,0.5,1,0.5,0,0,3,2,1
4,5,8,7,26,39,28,18,25,0,0.5,0.5,1,1,0.5,1,0.5,1,0.5,2,0,0
8,6,17,18,26,28,32,35,33,0.5,0.5,0,0,0,0,1,0.5,0,0.5,1,0,0
13,12,12,9,26,22,29,24,31,0,1,0,0.5,1,0.5,0,0,1,0,0,2,0
7,15,11,14,26,33,34,31,28,1,0,1,0,0,0.5,1,0.5,0.5,0,0,0,0
1,10,3,20,26,48,32,27,34,1,0.5,1,0.5,1,0,0.5,0,0,0,0,0,0
18,11,5,13,26,36,38,28,42,0,1,1,1,1,0,0,0.5,0,1,0,0,0
20,16,10,15,26,46,35,24,40,1,0,0,1,0,0,0.5,0,0,1,1,2,0
2,14,1,4,26,37,36,31,38,0.5,1,0,1,1,0,0,1,1,1,2,1,0
19,3,6,2,26,28,29,51,30,1,1,0,1,1,1,1,1,0,1,0,0,0
3,1,2,3,27,51,30,48,32,1,1,1,0,1,1,0.5,1,0.5,1,1,3,1
5,9,7,19,27,18,27,44,31,0.5,1,0.5,1,0.5,0.5,0,0,0.5,0,1,1,0
4,13,8,12,27,41,28,22,31,0,0.5,0.5,1,1,0,1,0,0.5,1,2,0,0
12,7,9,11,27,26,31,33,34,0.5,0,0,1,0,1,0,1,0,0,2,1,0
16,11,15,13,27,26,41,28,42,0,0.5,0,0,1,0,0,0.5,0,1,1,2,0
10,18,20,5,27,27,34,36,38,0,0.5,0,0,0,0,1,1,1,1,2,1,0
15,2,14,1,27,31,28,39,37,0.5,1,0.5,0.5,0,0.5,1,0,1,1,2,0,0
14,20,4,10,27,32,40,47,37,0,0,1,1,1,1,0,0,1,0,1,2,0
17,8,16,17,27,41,46,29,32,0.5,1,0.5,0,0,0.5,0.5,0,0,0,0,3,0
6,19,18,6,27,35,34,28,29,0,1,0.5,0,0.5,1,1,0,1,1,0,0,0
2,12,1,9,28,39,39,28,32,0.5,1,0,1,1,0.5,0,0,1,0,0,2,0
1,6,3,18,28,51,33,35,34,1,0.5,1,0.5,1,0,1,0.5,0,0.5,1,2,0
9,13,19,12,28,45,32,22,33,0.5,0,0,0.5,0,0,1,0,0.5,1,1,0,0
18,16,5,15,28,37,40,27,43,0,1,1,1,1,0,0.5,0,0,1,0,2,0
20,15,10,14,28,49,38,33,28,1,0,0,1,0,0.5,1,0.5,0.5,0,1,1,0
8,5,17,7,28,32,32,19,28,0.5,0.5,0,0,0,0.5,1,0.5,1,0.5,3,0,0
11,14,13,4,28,30,43,33,42,0,0,0.5,0,1,0,0,1,1,1,1,2,0
19,17,6,16,28,28,29,41,49,1,1,0,1,1,0.5,1,0.5,0,0,0,1,0
10,3,20,2,28,29,35,52,33,0,0.5,0,0,0,1,1,1,0,1,2,2,1
7,4,11,8,28,34,36,43,28,1,0,1,0,0,0,0.5,0.5,1,1,4,1,1
6,10,18,20,29,37,35,31,37,0,1,0.5,0,0.5,0,0.5,0,0,0,0,1,0
4,2,8,1,29,44,32,39,41,0,0.5,0.5,1,1,0.5,1,0,1,1,0,0,0
3,18,2,5,29,54,35,37,42,1,1,1,0,1,0,1,1,1,1,1,1,0
5,19,7,6,29,19,31,28,30,0.5,1,0.5,1,0.5,1,1,0,1,1,2,3,1
17,1,16,3,29,42,49,52,35,0.5,1,0.5,0,0,1,0.5,1,0.5,1,1,1,0
14,16,4,15,29,35,43,29,43,0,0,1,1,1,0,0.5,0,0,1,3,1,1
9,7,19,11,29,46,32,38,37,0.5,0,0,0.5,0,1,0,1,0,0,1,2,0
13,8,12,17,29,22,34,35,32,0,1,0,0.5,1,0.5,0.5,0,0,0,3,3,1
15,11,14,13,29,34,29,31,45,0.5,1,0.5,0.5,0,0,0,0.5,0,1,1,4,1
12,20,9,10,29,30,32,50,39,0.5,0,0,1,0,1,0,0,1,0,2,2,1
1,5,3,7,30,53,36,21,34,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5,1,1,0
10,17,20,16,30,32,37,43,50,0,0.5,0,0,0,0.5,1,0.5,0,0,2,2,1
3,6,2,18,30,55,36,37,36,1,1,1,0,1,0,1,0.5,0,0.5,1,1,0
2,9,1,19,30,39,41,47,34,0.5,1,0,1,1,0.5,0,0,0.5,0,2,0,0
11,12,13,9,30,35,46,32,34,0,0,0.5,0,1,0.5,0,0,1,0,2,0,0
16,15,15,14,30,30,46,35,33,0,0.5,0,0,1,0.5,1,0.5,0.5,0,1,2,0
8,7,17,11,30,38,35,40,38,0.5,0.5,0,0,0,1,0,1,0,0,1,3,1
20,4,10,8,30,52,41,44,32,1,0,0,1,0,0,0.5,0.5,1,1,3,1,1
19,13,6,12,30,31,32,25,37,1,1,0,1,1,0,1,0,0.5,1,3,1,1
18,14,5,4,30,38,43,38,44,0,1,1,1,1,0,0,1,1,1,1,1,0
17,3,16,2,31,45,52,56,37,0.5,1,0.5,0,0,1,1,1,0,1,0,1,0
5,10,7,20,31,22,35,34,39,0.5,1,0.5,1,0.5,0,0.5,0,0,0,1,2,0
12,16,9,15,31,32,36,31,48,0.5,0,0,1,0,0,0.5,0,0,1,3,1,1
13,1,12,3,31,26,40,54,37,0,1,0,0.5,1,1,0.5,1,0.5,1,5,1,1
8,2,17,1,31,39,38,41,41,0.5,0.5,0,0,0,0.5,1,0,1,1,3,2,1
9,20,19,10,31,47,36,55,42,0.5,0,0,0.5,0,1,0,0,1,0,3,2,1
6,18,18,5,31,38,37,39,44,0,1,0.5,0,0.5,0,1,1,1,1,2,0,0
15,14,14,4,31,37,34,39,45,0.5,1,0.5,0.5,0,0,0,1,1,1,2,0,0
7,19,11,6,31,43,39,34,33,1,0,1,0,0,1,1,0,1,1,2,1,0
4,11,8,13,31,45,35,37,46,0,0.5,0.5,1,1,0,0,0.5,0,1,1,0,0
3,5,2,7,32,57,37,23,37,1,1,1,0,1,0.5,1,0.5,1,0.5,2,1,0
19,2,6,1,32,35,35,43,44,1,1,0,1,1,0.5,1,0,1,1,0,1,0
6,17,18,16,32,40,37,45,53,0,1,0.5,0,0.5,0.5,1,0.5,0,0,2,3,1
11,9,13,19,32,37,47,50,38,0,0,0.5,0,1,0.5,0,0,0.5,0,2,1,0
1,7,3,11,32,55,42,45,40,1,0.5,1,0.5,1,1,0,1,0,0,3,0,0
16,4,15,8,32,32,51,46,35,0,0.5,0,0,1,0,0.5,0.5,1,1,0,0,0
10,13,20,12,32,36,40,31,41,0,0.5,0,0,0,0,1,0,0.5,1,0,0,0
14,12,4,9,32,39,47,35,37,0,0,1,1,1,0.5,0,0,1,0,1,1,0
18,15,5,14,32,39,46,39,34,0,1,1,1,1,0.5,1,0.5,0.5,0,3,2,1
20,8,10,17,32,57,45,42,40,1,0,0,1,0,0.5,0.5,0,0,0,2,0,0
2,1,1,3,33,44,44,58,42,0.5,1,0,1,1,1,0.5,1,0.5,1,2,1,0
